"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Georg\source\repos\Wildvogelreha\src\server\scripts\check_emails_and_send_test.js", "JavaScript", 190, 5, 28, 223
"Total", "-", 190, 5, 28, 223
